"Country","Year","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Guam","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Puerto Rico","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Denmark","2022","3","0","16","0","188","16","6","0","4","65","30","0","4","0","21","7","0","0","0","0","0","8","13","7","11","0","3","0","0","11","0","34","0","47","16","0","3","4","13","11","0","0","0","0","0","47","13","0","12","46","0","7","0"
"Djibouti","2022","0","0","7","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","27","8","6","0","51","0","0","0","0","0","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","9","0","0","0","10","0","15","0"
"Dominica","2022","3","6","0","3","8","0","19","0","0","102","38","0","0","0","6","0","0","0","0","0","0","31","26","0","0","0","0","0","0","0","0","71","0","138","7","0","4","6","0","18","0","0","5","0","0","77","0","0","11","5","0","0","0"
"Dominican Republic","2022","31","44","48","9","151","25","788","70","58","3211","430","0","8","6","119","86","25","10","20","125","6","358","3260","109","42","18","48","0","17","51","124","6416","10","12402","331","0","209","10","20","2849","818","849","87","4","60","441","50","3","183","48","7","47","0"
"Ecuador","2022","15","4","34","4","346","36","466","16","17","1153","128","0","5","6","287","34","19","9","14","16","5","115","144","22","164","4","18","0","8","30","6","2344","10","3420","135","0","42","15","23","232","8","19","38","0","21","315","35","0","123","59","4","20","0"
"Egypt","2022","13","0","57","10","1405","27","76","42","14","499","105","0","7","7","138","75","34","22","24","20","0","111","299","123","68","3","27","0","20","17","8","1517","9","1057","121","0","160","16","52","373","0","11","70","0","460","734","6","4","469","215","12","25","0"
"El Salvador","2022","43","14","171","240","6329","124","78","17","196","694","495","0","11","17","153","124","91","85","37","48","11","1709","629","55","134","5","51","0","62","366","12","862","15","1918","390","0","102","30","117","135","10","33","43","12","91","3458","127","5","1685","183","8","33","0"
"Eritrea","2022","5","0","50","0","323","80","10","0","47","18","128","0","0","6","46","58","85","21","26","0","3","129","31","13","57","4","31","0","3","61","0","15","0","42","87","0","142","13","37","75","0","7","0","13","20","332","10","0","150","263","4","9","0"
"Estonia","2022","0","0","5","0","36","4","4","0","3","41","5","0","0","0","6","0","0","0","0","0","0","5","6","0","4","0","0","0","0","0","0","7","0","27","0","0","4","0","5","5","0","0","0","0","0","16","0","0","3","15","0","0","0"
"Ethiopia","2022","12","7","88","3","829","480","25","5","346","112","672","0","0","20","164","83","101","95","72","12","11","1215","228","58","1151","5","109","0","54","296","0","75","0","141","118","6","356","30","188","185","0","3","12","55","141","874","23","3","1186","1037","10","44","0"
"Fiji","2022","0","0","6","0","893","0","0","0","0","5","6","0","13","0","6","0","0","0","0","3","0","0","3","3","0","0","0","0","0","12","0","5","0","10","0","0","0","0","16","9","0","0","0","0","0","20","5","0","5","132","0","0","0"
"Finland","2022","4","0","5","3","93","4","0","0","6","39","18","0","0","0","8","0","0","0","0","0","0","8","13","7","10","0","3","0","0","0","0","12","0","41","8","0","4","0","6","8","0","3","4","0","0","41","7","0","11","38","0","6","0"
"France","2022","16","0","53","4","1065","50","46","4","35","468","91","0","21","26","114","13","8","11","15","15","11","75","146","50","47","0","14","7","0","44","12","195","8","652","61","0","44","5","66","94","6","11","39","0","15","326","17","0","86","207","3","24","0"
"Gabon","2022","0","0","0","0","4","0","3","0","0","0","6","0","0","0","3","3","0","0","0","0","0","17","3","0","4","0","0","0","0","0","0","5","0","21","0","0","0","0","0","4","0","0","0","0","0","35","0","0","3","0","0","0","0"
"Gambia","2022","6","10","0","0","16","9","8","4","0","6","97","0","0","0","13","4","0","4","28","0","0","63","10","24","37","3","4","0","0","0","0","21","0","234","30","3","57","3","5","27","0","15","0","0","11","56","0","0","17","157","0","64","0"
"Georgia","2022","0","0","4","0","141","10","17","0","6","48","18","0","0","0","35","4","0","4","5","0","0","33","17","0","6","0","0","0","0","10","0","193","0","591","7","0","20","0","0","120","0","0","3","0","0","25","0","0","31","22","0","0","0"
"Germany","2022","65","17","87","21","745","78","50","9","26","388","177","0","24","23","121","27","12","9","38","19","14","78","100","147","34","5","35","13","7","36","18","150","20","299","125","0","78","33","82","128","0","12","61","4","54","304","22","7","109","188","16","44","9"
"Ghana","2022","18","4","58","8","211","135","181","85","14","90","421","0","10","4","265","43","30","27","50","13","0","596","363","36","94","9","45","0","11","19","5","776","16","1317","114","31","554","41","30","220","0","24","21","0","60","499","18","5","747","101","7","41","3"
"Greece","2022","0","0","14","0","175","12","34","7","6","104","20","0","0","0","84","12","0","3","3","4","0","49","92","23","5","0","5","0","0","7","11","98","0","377","11","0","25","3","8","76","0","4","8","0","3","62","0","0","24","42","0","9","0"
"Grenada","2022","3","0","0","0","8","0","10","0","3","41","17","0","0","0","3","0","0","0","0","0","0","23","7","0","0","0","0","0","0","0","0","41","0","482","4","0","0","0","0","7","0","0","0","0","0","46","0","0","12","5","0","0","0"
"Guatemala","2022","78","8","159","68","3620","61","165","29","30","693","292","0","7","24","271","70","64","49","42","46","4","353","460","52","87","15","46","0","100","165","12","483","22","677","143","0","87","70","176","146","10","252","58","23","87","848","96","0","380","152","7","34","0"
"Guinea","2022","6","0","11","0","14","3","12","6","6","9","70","0","0","0","14","35","7","4","6","0","0","76","19","16","33","0","6","0","0","0","0","75","0","514","13","0","85","0","7","105","0","5","0","0","13","37","0","0","36","36","0","12","0"
"Guyana","2022","10","0","11","0","49","5","147","21","14","525","208","0","4","0","17","3","0","5","5","9","0","180","42","16","63","0","7","0","0","6","0","674","0","4452","34","0","20","3","5","108","0","0","15","0","18","74","0","0","44","7","3","0","0"
"Haiti","2022","29","3","29","0","122","29","419","154","12","7422","448","0","9","5","81","252","13","15","54","47","3","260","2041","29","12","4","33","0","3","20","27","1736","7","3216","138","7","49","7","16","584","6","67","22","0","37","139","24","4","100","36","0","22","0"
"Honduras","2022","63","9","52","31","854","41","75","15","25","1524","289","0","7","13","134","89","32","40","50","290","6","244","188","35","53","15","53","0","25","64","9","585","6","843","265","0","61","29","27","98","18","16","87","3","88","1279","41","0","381","136","5","39","0"
"Hong Kong","2022","3","0","13","4","1049","10","12","0","9","48","40","3","21","3","44","8","3","11","0","4","0","45","80","14","9","0","12","0","3","39","4","79","0","370","18","0","15","0","24","34","0","3","5","0","5","126","18","3","23","216","0","12","0"
"Hungary","2022","3","0","13","0","199","16","16","0","0","202","24","0","8","6","18","7","3","6","5","0","4","12","19","6","6","5","8","0","4","17","6","73","3","134","15","0","8","3","17","37","0","0","6","0","6","42","4","0","19","35","0","7","0"
"Iceland","2022","0","0","0","0","12","0","0","0","0","10","5","0","0","0","5","0","0","0","0","0","0","0","5","3","4","0","0","0","0","0","0","3","0","7","0","0","0","0","3","3","0","0","0","0","0","10","0","0","0","5","4","0","0"
"India","2022","416","14","645","196","14018","283","733","316","51","1774","3086","0","25","23","3891","855","165","201","303","130","36","1266","1566","1299","482","112","308","4","69","137","142","7960","74","3903","1203","18","1273","225","424","2762","5","38","503","12","575","8608","121","32","2060","2823","39","398","5"
"Indonesia","2022","10","0","27","7","500","38","7","3","0","69","58","0","8","7","28","10","6","4","7","4","3","35","22","19","14","0","9","0","3","30","11","48","0","110","19","0","25","9","29","76","0","0","13","0","19","163","3","3","42","123","0","11","0"
"Iran","2022","29","0","203","26","7641","133","59","11","44","328","480","0","11","49","300","51","17","56","43","21","0","467","302","159","61","8","52","0","27","176","10","173","24","432","146","6","119","81","200","178","0","13","43","5","72","1837","71","6","714","726","8","37","3"
"Iraq","2022","13","0","725","9","1855","211","53","0","7","230","118","0","0","100","489","50","51","34","214","15","106","90","241","1712","156","3","155","10","295","43","22","70","46","342","88","27","360","43","158","186","0","27","21","4","192","1662","95","15","446","545","5","113","0"
"Ireland","2022","6","4","22","0","377","20","38","3","5","109","28","0","6","8","114","12","4","4","11","7","4","29","212","16","19","0","6","0","4","7","13","112","4","373","35","0","20","0","29","71","0","11","15","0","8","102","5","0","41","86","0","7","0"
"Israel","2022","9","3","32","0","930","42","33","4","9","380","126","0","5","4","86","6","3","7","6","13","0","62","124","41","17","3","14","0","0","65","6","311","6","703","30","0","71","3","32","77","4","3","14","0","15","192","0","0","30","144","0","15","0"
"Italy","2022","12","6","37","4","645","32","84","9","34","523","63","0","10","13","123","11","12","4","5","8","5","48","173","101","14","0","15","3","0","22","14","297","15","767","64","0","44","0","20","152","5","16","29","0","19","189","14","5","95","81","3","21","0"
