Region and country of birth;Continent;Year;Total;Alabama;Alaska;Arizona;Arkansas;California;Colorado;Connecticut;Delaware;District of Columbia;Florida;Georgia;Guam;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Puerto Rico;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin;Wyoming
Germany;Europe;2021; 3.248 ; 14 ; 3 ; 79 ; 10 ; 661 ; 63 ; 54 ; 7 ; 13 ; 368 ; 100 ; -   ; 25 ; 15 ; 75 ; 27 ; 12 ; 15 ; 31 ; 16 ; 13 ; 65 ; 80 ; 83 ; 31 ; 6 ; 24 ; 7 ; 8 ; 27 ; 12 ; 80 ; 24 ; 254 ; 85 ; 9 ; 44 ; 21 ; 53 ; 87 ; -   ; 14 ; 31 ; 3 ; 32 ; 228 ; 12 ; 8 ; 96 ; 130 ; 9 ; 38 ; 3 
Ghana;Africa;2021; 6.077 ; 9 ; 3 ; 50 ; 7 ; 212 ; 92 ; 235 ; 64 ; 12 ; 87 ; 255 ; -   ; 6 ; 8 ; 167 ; 32 ; 25 ; 20 ; 37 ; 6 ; -   ; 513 ; 333 ; 33 ; 83 ; 8 ; 47 ; 4 ; 9 ; 13 ; 9 ; 494 ; 3 ; 1.293 ; 114 ; 43 ; 338 ; 37 ; 9 ; 171 ; -   ; 37 ; 18 ; -   ; 39 ; 393 ; 12 ; 6 ; 503 ; 67 ; 3 ; 19 ; -   
Greece;Europe;2021; 1.164 ; -   ; -   ; 15 ; -   ; 149 ; 7 ; 40 ; 3 ; 5 ; 106 ; 12 ; -   ; -   ; -   ; 59 ; 11 ; -   ; 4 ; 3 ; -   ; -   ; 35 ; 88 ; 23 ; 7 ; -   ; 4 ; -   ; -   ; 9 ; 13 ; 52 ; 3 ; 270 ; 12 ; -   ; 27 ; -   ; 14 ; 55 ; -   ; 5 ; 4 ; -   ; 5 ; 45 ; -   ; -   ; 22 ; 19 ; -   ; 12 ; -   
Grenada;North America;2021; 642 ; -   ; -   ; 3 ; -   ; 8 ; -   ; 5 ; -   ; -   ; 38 ; 7 ; -   ; -   ; -   ; -   ; 5 ; -   ; -   ; -   ; -   ; -   ; 18 ; 7 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 25 ; -   ; 431 ; 6 ; -   ; -   ; -   ; -   ; 18 ; -   ; -   ; -   ; -   ; -   ; 27 ; -   ; -   ; 12 ; 5 ; -   ; -   ; -   
Guatemala;North America;2021; 9.532 ; 20 ; 6 ; 140 ; 52 ; 3.924 ; 54 ; 190 ; 27 ; 18 ; 671 ; 164 ; -   ; 5 ; 14 ; 179 ; 51 ; 41 ; 39 ; 33 ; 29 ; -   ; 330 ; 344 ; 48 ; 63 ; 12 ; 40 ; -   ; 77 ; 139 ; 15 ; 357 ; 15 ; 533 ; 123 ; 9 ; 56 ; 53 ; 102 ; 82 ; 4 ; 219 ; 30 ; 24 ; 52 ; 553 ; 90 ; -   ; 275 ; 80 ; 5 ; 23 ; 3 
Guinea;Africa;2021; 1.016 ; 3 ; -   ; 9 ; -   ; 13 ; 8 ; 15 ; -   ; 4 ; -   ; 48 ; -   ; -   ; -   ; 8 ; 13 ; 5 ; 4 ; 3 ; -   ; -   ; 51 ; 24 ; 11 ; 20 ; -   ; -   ; -   ; -   ; -   ; 3 ; 44 ; -   ; 484 ; 9 ; 4 ; 67 ; -   ; -   ; 68 ; -   ; 4 ; -   ; -   ; 8 ; 22 ; -   ; -   ; 20 ; 13 ; -   ; 6 ; -   
Guyana;South America;2021; 5.338 ; 9 ; -   ; 8 ; -   ; 45 ; 4 ; 132 ; 16 ; 12 ; 443 ; 99 ; -   ; -   ; -   ; 9 ; 5 ; 5 ; 6 ; -   ; -   ; -   ; 122 ; 38 ; -   ; 52 ; -   ; 6 ; -   ; -   ; 7 ; -   ; 493 ; -   ; 3.480 ; 35 ; -   ; 16 ; -   ; -   ; 83 ; -   ; -   ; 6 ; -   ; 5 ; 52 ; -   ; -   ; 40 ; 9 ; -   ; -   ; -   
Haiti;North America;2021; 14.882 ; 10 ; 4 ; 29 ; 6 ; 111 ; 18 ; 418 ; 104 ; 4 ; 7.030 ; 248 ; -   ; 7 ; -   ; 52 ; 79 ; 24 ; 14 ; 40 ; 26 ; 10 ; 266 ; 1.651 ; 20 ; 17 ; -   ; 36 ; -   ; 6 ; 17 ; 17 ; 944 ; 4 ; 2.450 ; 105 ; 17 ; 46 ; 10 ; 9 ; 392 ; 6 ; 74 ; 12 ; 3 ; 29 ; 101 ; 20 ; -   ; 89 ; 16 ; -   ; 16 ; -   
Honduras;North America;2021; 7.015 ; 14 ; 3 ; 60 ; 28 ; 940 ; 49 ; 81 ; 8 ; 20 ; 1.622 ; 184 ; -   ; -   ; 9 ; 88 ; 63 ; 24 ; 34 ; 34 ; 180 ; 5 ; 197 ; 178 ; 42 ; 32 ; 12 ; 46 ; 7 ; 19 ; 51 ; 12 ; 381 ; 11 ; 647 ; 278 ; 5 ; 43 ; 34 ; 22 ; 85 ; 10 ; 27 ; 39 ; -   ; 68 ; 833 ; 39 ; -   ; 286 ; 46 ; 4 ; 26 ; -   
Hong Kong;Asia;2021; 2.413 ; 4 ; -   ; 21 ; -   ; 1.055 ; 24 ; 17 ; 3 ; -   ; 64 ; 17 ; -   ; 34 ; -   ; 49 ; 13 ; -   ; 5 ; 4 ; -   ; -   ; 30 ; 91 ; 13 ; 11 ; -   ; 6 ; -   ; -   ; 28 ; 6 ; 79 ; 6 ; 405 ; 24 ; -   ; 14 ; 6 ; 20 ; 33 ; -   ; -   ; 3 ; -   ; 3 ; 108 ; 22 ; -   ; 29 ; 128 ; -   ; 8 ; -   
Hungary;Europe;2021; 1.047 ; -   ; -   ; 18 ; -   ; 198 ; 13 ; 27 ; 4 ; 7 ; 224 ; 9 ; -   ; 5 ; -   ; 19 ; 3 ; -   ; 7 ; 5 ; -   ; -   ; 12 ; 25 ; 7 ; 7 ; -   ; 6 ; -   ; -   ; 26 ; 5 ; 62 ; -   ; 112 ; 22 ; -   ; 25 ; 3 ; -   ; 22 ; 4 ; 3 ; 11 ; -   ; 8 ; 52 ; -   ; -   ; 19 ; 28 ; -   ; 17 ; -   
Iceland;Europe;2021; 99 ; -   ; -   ; 5 ; -   ; 20 ; -   ; -   ; -   ; -   ; 9 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; 5 ; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 8 ; 3 ; -   ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; -   ; 6 ; 5 ; -   ; -   
India;Asia;2021; 57.043 ; 167 ; 8 ; 1.080 ; 166 ; 11.319 ; 372 ; 975 ; 225 ; 28 ; 1.956 ; 1.948 ; -   ; 21 ; 42 ; 2.997 ; 621 ; 160 ; 216 ; 244 ; 107 ; 28 ; 1.221 ; 1.666 ; 1.352 ; 555 ; 128 ; 429 ; 13 ; 116 ; 126 ; 177 ; 6.602 ; 59 ; 3.365 ; 1.537 ; 38 ; 1.201 ; 212 ; 337 ; 2.326 ; -   ; 57 ; 241 ; 23 ; 404 ; 7.028 ; 105 ; 29 ; 1.921 ; 2.226 ; 41 ; 485 ; 7 
Indonesia;Asia;2021; 1.638 ; 3 ; -   ; 35 ; 5 ; 622 ; 47 ; 12 ; 3 ; 3 ; 50 ; 42 ; -   ; 7 ; 3 ; 18 ; 11 ; 4 ; 7 ; 11 ; 7 ; 3 ; 25 ; 25 ; 16 ; 12 ; -   ; 3 ; 4 ; -   ; 18 ; 30 ; 49 ; 3 ; 105 ; 19 ; -   ; 30 ; 11 ; 20 ; 75 ; -   ; -   ; 5 ; -   ; 10 ; 137 ; 3 ; -   ; 34 ; 74 ; -   ; 8 ; -   
Iran;Asia;2021; 10.798 ; 12 ; -   ; 202 ; 18 ; 5.992 ; 75 ; 47 ; 3 ; 21 ; 268 ; 184 ; -   ; 5 ; 17 ; 161 ; 31 ; 9 ; 18 ; 32 ; 17 ; 7 ; 326 ; 192 ; 97 ; 31 ; -   ; 40 ; -   ; 9 ; 113 ; 10 ; 115 ; 14 ; 289 ; 97 ; 10 ; 98 ; 52 ; 95 ; 93 ; -   ; 5 ; 24 ; 4 ; 48 ; 993 ; 31 ; 5 ; 428 ; 339 ; -   ; 21 ; 4 
Iraq;Asia;2021; 7.695 ; 5 ; -   ; 701 ; 4 ; 1.247 ; 143 ; 34 ; -   ; 6 ; 170 ; 60 ; -   ; -   ; 45 ; 300 ; 29 ; 27 ; 16 ; 121 ; 22 ; 123 ; 72 ; 209 ; 1.140 ; 91 ; -   ; 81 ; -   ; 105 ; 21 ; 29 ; 57 ; 27 ; 257 ; 67 ; 24 ; 166 ; 25 ; 92 ; 111 ; -   ; 9 ; 10 ; 7 ; 145 ; 987 ; 95 ; 12 ; 345 ; 330 ; 3 ; 54 ; -   
Ireland;Europe;2021; 1.726 ; -   ; 3 ; 25 ; -   ; 292 ; 18 ; 52 ; -   ; 9 ; 81 ; 24 ; -   ; 3 ; 3 ; 61 ; 14 ; 5 ; 3 ; 10 ; -   ; 12 ; 28 ; 224 ; 14 ; 17 ; -   ; 3 ; -   ; 5 ; 13 ; 17 ; 72 ; -   ; 381 ; 27 ; -   ; 19 ; -   ; 29 ; 66 ; -   ; 13 ; 8 ; -   ; 6 ; 60 ; 6 ; 4 ; 21 ; 49 ; -   ; 11 ; -   
Israel;Asia;2021; 3.454 ; -   ; 3 ; 49 ; 3 ; 985 ; 44 ; 22 ; -   ; 11 ; 444 ; 65 ; -   ; 11 ; -   ; 82 ; 11 ; 5 ; 12 ; 4 ; 12 ; -   ; 68 ; 127 ; 28 ; 14 ; -   ; 20 ; -   ; -   ; 70 ; 4 ; 198 ; 5 ; 626 ; 30 ; -   ; 40 ; -   ; 19 ; 56 ; 3 ; -   ; 13 ; -   ; 23 ; 165 ; 5 ; 5 ; 27 ; 73 ; 3 ; 11 ; -   
Italy;Europe;2021; 3.318 ; 4 ; -   ; 48 ; 3 ; 652 ; 49 ; 97 ; 5 ; 25 ; 504 ; 44 ; -   ; 18 ; 3 ; 90 ; 26 ; -   ; 6 ; 13 ; 4 ; 6 ; 54 ; 164 ; 62 ; 8 ; -   ; 16 ; 5 ; 3 ; 25 ; 8 ; 192 ; 8 ; 600 ; 47 ; -   ; 44 ; 5 ; 13 ; 105 ; 6 ; 12 ; 13 ; 3 ; 13 ; 126 ; 15 ; -   ; 52 ; 50 ; -   ; 13 ; -   
Jamaica;North America;2021; 20.716 ; 54 ; 8 ; 87 ; 9 ; 353 ; 82 ; 1.358 ; 84 ; 40 ; 5.620 ; 912 ; -   ; 18 ; -   ; 139 ; 32 ; 8 ; 14 ; 28 ; 53 ; 39 ; 706 ; 623 ; 72 ; 37 ; 44 ; 67 ; -   ; 17 ; 39 ; 28 ; 1.261 ; 7 ; 6.360 ; 287 ; 14 ; 126 ; 22 ; 11 ; 707 ; -   ; 42 ; 104 ; 8 ; 50 ; 417 ; 8 ; 16 ; 256 ; 62 ; 19 ; 42 ; 7 
Japan;Asia;2021; 1.901 ; -   ; -   ; 35 ; -   ; 699 ; 22 ; 11 ; 3 ; 9 ; 57 ; 24 ; 10 ; 144 ; 6 ; 37 ; 12 ; -   ; 6 ; 7 ; 3 ; -   ; 28 ; 36 ; 19 ; 7 ; -   ; 7 ; -   ; 3 ; 24 ; 4 ; 57 ; -   ; 204 ; 19 ; -   ; 37 ; 3 ; 25 ; 29 ; -   ; -   ; 8 ; -   ; 7 ; 79 ; 19 ; -   ; 39 ; 104 ; -   ; 15 ; -   
Jordan;Asia;2021; 3.036 ; 8 ; -   ; 67 ; 14 ; 445 ; 21 ; 35 ; 5 ; 4 ; 227 ; 32 ; -   ; -   ; -   ; 301 ; 48 ; 8 ; 10 ; 42 ; 68 ; 4 ; 53 ; 60 ; 129 ; 21 ; 17 ; 43 ; -   ; 8 ; 7 ; 12 ; 179 ; 9 ; 181 ; 62 ; 3 ; 186 ; 16 ; 13 ; 98 ; 3 ; -   ; 13 ; -   ; 66 ; 318 ; 10 ; -   ; 79 ; 30 ; -   ; 42 ; -   
Kazakhstan;Asia;2021; 1.074 ; -   ; 5 ; 12 ; -   ; 197 ; 17 ; 8 ; -   ; 3 ; 91 ; 11 ; -   ; -   ; -   ; 27 ; 8 ; -   ; -   ; 5 ; -   ; 4 ; 20 ; 42 ; 13 ; 12 ; -   ; 9 ; -   ; -   ; 9 ; 3 ; 32 ; 3 ; 203 ; 22 ; -   ; 14 ; 5 ; 21 ; 35 ; -   ; 3 ; 7 ; -   ; -   ; 74 ; -   ; 3 ; 50 ; 64 ; -   ; 6 ; -   
Kenya;Africa;2021; 4.715 ; 33 ; -   ; 135 ; 10 ; 362 ; 71 ; 25 ; 71 ; 9 ; 104 ; 181 ; -   ; 5 ; 4 ; 27 ; 59 ; 59 ; 81 ; 36 ; 10 ; 18 ; 252 ; 286 ; 65 ; 390 ; 6 ; 110 ; 3 ; 32 ; 19 ; 29 ; 173 ; 11 ; 131 ; 146 ; 24 ; 126 ; 42 ; 29 ; 152 ; -   ; 4 ; 12 ; 6 ; 51 ; 798 ; 10 ; 3 ; 107 ; 272 ; 7 ; 37 ; 6 
Korea, South;Asia;2021; 14.996 ; 94 ; 41 ; 137 ; 31 ; 5.280 ; 148 ; 89 ; 18 ; 13 ; 186 ; 710 ; 27 ; 166 ; 10 ; 327 ; 59 ; 22 ; 36 ; 35 ; 15 ; -   ; 527 ; 210 ; 205 ; 35 ; 6 ; 55 ; 4 ; 11 ; 107 ; 15 ; 1.349 ; 26 ; 1.433 ; 191 ; 9 ; 105 ; 42 ; 121 ; 342 ; -   ; 21 ; 41 ; 3 ; 55 ; 970 ; 51 ; 6 ; 784 ; 641 ; 5 ; 30 ; -   
Kosovo;Europe;2021; 622 ; -   ; -   ; 17 ; -   ; 19 ; 4 ; 46 ; -   ; -   ; 34 ; 14 ; -   ; -   ; -   ; 15 ; -   ; 6 ; -   ; 13 ; -   ; -   ; 9 ; 20 ; 44 ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; 41 ; -   ; 204 ; 4 ; -   ; -   ; 5 ; -   ; 30 ; -   ; -   ; -   ; -   ; 3 ; 40 ; -   ; -   ; 6 ; 3 ; -   ; 17 ; -   
Kuwait;Asia;2021; 826 ; -   ; -   ; 22 ; -   ; 143 ; 4 ; 6 ; 3 ; 8 ; 50 ; 13 ; -   ; -   ; 3 ; 40 ; 13 ; -   ; 5 ; 8 ; 7 ; 11 ; 15 ; 20 ; 35 ; 9 ; -   ; 4 ; -   ; -   ; 3 ; -   ; 45 ; -   ; 45 ; 21 ; -   ; 39 ; 3 ; 7 ; 19 ; -   ; -   ; -   ; -   ; 11 ; 121 ; 5 ; -   ; 34 ; 20 ; -   ; 7 ; -   
Kyrgyzstan;Asia;2021; 565 ; -   ; -   ; 3 ; -   ; 77 ; 9 ; 3 ; -   ; -   ; 42 ; 14 ; -   ; -   ; -   ; 75 ; -   ; -   ; -   ; 4 ; 4 ; -   ; 7 ; 13 ; -   ; 5 ; -   ; 4 ; -   ; -   ; 3 ; -   ; 17 ; -   ; 106 ; 8 ; -   ; 11 ; -   ; 10 ; 43 ; -   ; -   ; 5 ; -   ; 3 ; 29 ; -   ; -   ; 14 ; 29 ; -   ; -   ; -   
Laos;Asia;2021; 1.874 ; 7 ; 18 ; 10 ; 51 ; 394 ; 25 ; 25 ; -   ; -   ; 37 ; 71 ; -   ; 12 ; -   ; 28 ; 5 ; 52 ; 32 ; -   ; 3 ; -   ; 4 ; 26 ; 44 ; 298 ; -   ; 14 ; -   ; 6 ; 10 ; -   ; 5 ; -   ; 11 ; 75 ; -   ; 19 ; 19 ; 31 ; 26 ; -   ; 18 ; 10 ; 3 ; 33 ; 86 ; 11 ; -   ; 24 ; 74 ; -   ; 222 ; -   
Latvia;Europe;2021; 297 ; -   ; -   ; 6 ; -   ; 48 ; 9 ; 5 ; 3 ; -   ; 32 ; 4 ; -   ; -   ; -   ; 18 ; -   ; -   ; -   ; 3 ; -   ; -   ; 8 ; 6 ; 7 ; 6 ; -   ; 3 ; -   ; -   ; 4 ; -   ; 12 ; -   ; 48 ; 3 ; -   ; -   ; -   ; 5 ; 5 ; -   ; -   ; -   ; -   ; 5 ; 10 ; -   ; -   ; 10 ; 9 ; -   ; 8 ; -   
Lebanon;Asia;2021; 2.213 ; -   ; -   ; 41 ; -   ; 491 ; 14 ; 21 ; 3 ; 7 ; 157 ; 24 ; -   ; -   ; -   ; 43 ; 9 ; 5 ; 13 ; 11 ; 7 ; 3 ; 28 ; 165 ; 375 ; 24 ; -   ; 10 ; 3 ; -   ; 15 ; 16 ; 57 ; -   ; 144 ; 29 ; -   ; 73 ; 15 ; 13 ; 40 ; 3 ; 12 ; 4 ; -   ; 10 ; 166 ; 4 ; -   ; 71 ; 31 ; 3 ; 11 ; -   
Liberia;Africa;2021; 2.892 ; 3 ; -   ; 40 ; -   ; 49 ; 25 ; 24 ; 50 ; 6 ; 32 ; 105 ; -   ; 3 ; -   ; 20 ; 22 ; 105 ; -   ; 37 ; 5 ; -   ; 217 ; 87 ; 36 ; 291 ; -   ; 22 ; -   ; 3 ; -   ; 6 ; 177 ; -   ; 145 ; 115 ; 121 ; 86 ; 10 ; 10 ; 515 ; -   ; 148 ; 10 ; 43 ; 23 ; 139 ; -   ; -   ; 62 ; 18 ; -   ; 4 ; -   
Libya;Africa;2021; 348 ; -   ; -   ; 9 ; -   ; 52 ; 17 ; 9 ; -   ; -   ; 20 ; 6 ; -   ; -   ; -   ; 7 ; -   ; -   ; -   ; 3 ; -   ; -   ; -   ; 8 ; 13 ; -   ; -   ; 11 ; -   ; -   ; 6 ; -   ; 15 ; -   ; 18 ; 7 ; -   ; 15 ; -   ; 5 ; 15 ; -   ; -   ; -   ; -   ; 7 ; 38 ; -   ; -   ; 29 ; 11 ; -   ; 6 ; -   
Lithuania;Europe;2021; 652 ; -   ; -   ; 6 ; -   ; 65 ; 14 ; 9 ; -   ; -   ; 84 ; 10 ; -   ; -   ; -   ; 199 ; 5 ; -   ; -   ; -   ; -   ; -   ; 12 ; 27 ; 6 ; 3 ; -   ; -   ; -   ; -   ; 7 ; -   ; 46 ; -   ; 57 ; 4 ; -   ; 5 ; -   ; 6 ; 20 ; -   ; -   ; 5 ; -   ; -   ; 11 ; -   ; -   ; 13 ; 7 ; -   ; 4 ; -   
Macau;Asia;2021; 106 ; -   ; -   ; -   ; -   ; 51 ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 14 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; -   ; -   ; -   ; 8 ; -   ; -   ; -   
Malawi;Africa;2021; 138 ; -   ; -   ; 5 ; 4 ; 11 ; 4 ; 3 ; -   ; 4 ; 4 ; 5 ; -   ; -   ; -   ; 3 ; 10 ; -   ; -   ; -   ; -   ; -   ; 15 ; 3 ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 8 ; 4 ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; 12 ; -   ; -   ; 5 ; 8 ; -   ; 3 ; -   
Malaysia;Asia;2021; 1.217 ; -   ; 4 ; 27 ; 3 ; 331 ; 15 ; 8 ; -   ; -   ; 36 ; 15 ; -   ; 7 ; 5 ; 47 ; 8 ; -   ; 15 ; 7 ; -   ; -   ; 12 ; 23 ; 18 ; 27 ; -   ; -   ; -   ; -   ; 11 ; 3 ; 24 ; -   ; 197 ; 20 ; -   ; 13 ; 19 ; 11 ; 17 ; -   ; 8 ; -   ; -   ; 9 ; 148 ; 13 ; -   ; 29 ; 46 ; -   ; 22 ; -   
Mali;Africa;2021; 466 ; -   ; -   ; -   ; -   ; 5 ; 4 ; -   ; -   ; -   ; -   ; 15 ; -   ; -   ; -   ; -   ; 7 ; 4 ; 3 ; -   ; 3 ; 3 ; 46 ; 6 ; 9 ; -   ; -   ; 4 ; -   ; -   ; -   ; -   ; 13 ; -   ; 193 ; 12 ; -   ; 23 ; -   ; -   ; 51 ; -   ; -   ; -   ; -   ; 3 ; 20 ; 5 ; -   ; 4 ; 6 ; -   ; 6 ; -   
Mauritania;Africa;2021; 234 ; -   ; -   ; -   ; -   ; -   ; 5 ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; 8 ; -   ; -   ; 16 ; 10 ; -   ; 8 ; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; -   ; 56 ; -   ; -   ; 54 ; -   ; -   ; 11 ; -   ; -   ; -   ; -   ; 11 ; 3 ; -   ; -   ; 16 ; 6 ; -   ; -   ; -   
Mauritius;Africa;2021; 89 ; -   ; -   ; -   ; -   ; 8 ; -   ; -   ; -   ; -   ; 9 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 8 ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; 9 ; -   ; -   ; 12 ; 3 ; -   ; -   ; -   
Mexico;North America;2021; 113.269 ; 234 ; 50 ; 7.102 ; 582 ; 45.960 ; 1.919 ; 246 ; 151 ; 51 ; 3.112 ; 1.718 ; -   ; 85 ; 511 ; 4.028 ; 923 ; 441 ; 729 ; 304 ; 179 ; 15 ; 335 ; 234 ; 815 ; 585 ; 122 ; 444 ; 40 ; 386 ; 1.802 ; 48 ; 704 ; 1.413 ; 1.660 ; 1.494 ; 48 ; 395 ; 985 ; 1.673 ; 496 ; 47 ; 52 ; 242 ; 41 ; 507 ; 24.621 ; 1.030 ; 9 ; 557 ; 2.120 ; 20 ; 807 ; 55 
Moldova;Europe;2021; 1.887 ; 12 ; 14 ; 19 ; -   ; 251 ; 24 ; 9 ; 4 ; 3 ; 235 ; 32 ; -   ; 4 ; 8 ; 228 ; 6 ; 4 ; -   ; 3 ; 13 ; -   ; 38 ; 87 ; 5 ; 22 ; 3 ; 27 ; 6 ; -   ; 27 ; 3 ; 46 ; 5 ; 171 ; 60 ; 7 ; 41 ; 4 ; 50 ; 50 ; -   ; -   ; 13 ; 4 ; 10 ; 53 ; 7 ; 12 ; 55 ; 158 ; 4 ; 22 ; 6 
Montenegro;Europe;2021; 244 ; -   ; -   ; -   ; -   ; 15 ; -   ; 8 ; -   ; -   ; 16 ; -   ; -   ; -   ; -   ; 21 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; 35 ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; 14 ; -   ; 106 ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Mongolia;Asia;2021; 559 ; -   ; -   ; 8 ; -   ; 202 ; 35 ; -   ; -   ; -   ; 9 ; 4 ; -   ; 7 ; -   ; 69 ; -   ; -   ; 3 ; 4 ; -   ; -   ; 11 ; 7 ; 4 ; 4 ; -   ; 5 ; -   ; -   ; -   ; -   ; 3 ; -   ; 17 ; 3 ; -   ; 5 ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; 10 ; 13 ; -   ; 71 ; 31 ; -   ; 9 ; -   
Morocco;Africa;2021; 3.179 ; 8 ; -   ; 39 ; 6 ; 247 ; 64 ; 80 ; 24 ; 8 ; 362 ; 56 ; -   ; 3 ; -   ; 87 ; 22 ; 7 ; 9 ; 23 ; 5 ; 10 ; 81 ; 359 ; 39 ; 15 ; 9 ; 17 ; -   ; 4 ; 11 ; 19 ; 211 ; 6 ; 360 ; 93 ; -   ; 88 ; 33 ; 18 ; 168 ; -   ; 18 ; 16 ; -   ; 21 ; 177 ; 6 ; 3 ; 242 ; 35 ; -   ; 19 ; -   
Nepal;Asia;2021; 7.232 ; 8 ; 11 ; 71 ; 5 ; 663 ; 265 ; 78 ; 11 ; 11 ; 78 ; 97 ; -   ; 11 ; 13 ; 103 ; 28 ; 69 ; 32 ; 171 ; 10 ; 7 ; 352 ; 360 ; 82 ; 97 ; -   ; 61 ; -   ; 80 ; 11 ; 85 ; 115 ; 12 ; 855 ; 202 ; 61 ; 462 ; 46 ; 36 ; 335 ; -   ; 14 ; 8 ; 39 ; 57 ; 1.231 ; 34 ; 23 ; 561 ; 141 ; 6 ; 61 ; -   
Netherlands;Europe;2021; 829 ; -   ; -   ; 19 ; 3 ; 147 ; 23 ; 11 ; 4 ; -   ; 106 ; 24 ; -   ; 4 ; 3 ; 15 ; 11 ; 3 ; 3 ; 4 ; 5 ; -   ; 12 ; 25 ; 29 ; 12 ; -   ; -   ; 7 ; 3 ; 6 ; 5 ; 19 ; 7 ; 61 ; 19 ; -   ; 14 ; 4 ; 9 ; 20 ; -   ; 4 ; -   ; 7 ; 11 ; 72 ; 9 ; -   ; 27 ; 31 ; -   ; 7 ; -   
New Zealand;Oceania;2021; 693 ; -   ; -   ; 17 ; -   ; 192 ; 31 ; 13 ; -   ; -   ; 31 ; 9 ; -   ; 16 ; 5 ; 16 ; 4 ; 5 ; -   ; 4 ; 3 ; -   ; 15 ; 20 ; 15 ; 12 ; -   ; 7 ; 7 ; 4 ; 5 ; 4 ; 10 ; -   ; 62 ; 5 ; -   ; 6 ; 10 ; 19 ; 10 ; -   ; -   ; -   ; -   ; 8 ; 32 ; 18 ; -   ; 20 ; 27 ; -   ; 3 ; 3 
Nicaragua;North America;2021; 4.185 ; 8 ; 4 ; 30 ; 7 ; 976 ; 18 ; 21 ; 5 ; 11 ; 1.900 ; 52 ; -   ; -   ; -   ; 18 ; 17 ; 6 ; 9 ; 4 ; 35 ; -   ; 109 ; 27 ; 18 ; 12 ; 5 ; 9 ; -   ; 8 ; 33 ; -   ; 110 ; 6 ; 144 ; 67 ; -   ; 17 ; 6 ; 16 ; 29 ; 10 ; 7 ; 16 ; -   ; 16 ; 220 ; 3 ; 3 ; 83 ; 22 ; 5 ; 15 ; -   
Niger;Africa;2021; 154 ; -   ; -   ; -   ; -   ; 3 ; -   ; 5 ; -   ; -   ; -   ; 4 ; -   ; -   ; -   ; -   ; 14 ; -   ; -   ; -   ; -   ; -   ; 15 ; -   ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 ; -   ; 33 ; 20 ; -   ; 3 ; -   ; -   ; 26 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Nigeria;Africa;2021; 10.921 ; 21 ; 3 ; 149 ; 20 ; 933 ; 59 ; 96 ; 66 ; 63 ; 287 ; 763 ; -   ; 3 ; 4 ; 392 ; 251 ; 22 ; 34 ; 35 ; 37 ; 9 ; 1.296 ; 351 ; 187 ; 143 ; 15 ; 108 ; 5 ; 14 ; 34 ; 24 ; 550 ; 25 ; 1.029 ; 233 ; 16 ; 222 ; 87 ; 41 ; 271 ; -   ; 69 ; 29 ; 9 ; 60 ; 2.331 ; 15 ; 6 ; 200 ; 82 ; 13 ; 54 ; -   
